sample_id,episode_index,frame_index,video_frame_index,checkpoint,task_type,camera,video_exists,frame_read,detected,detected_ok_conf,video_path,class_id,class_name,confidence,center_x,center_y,width_px,height_px,area_ratio,image_w,image_h
8,4,45,646,last_approach,nic,right,True,True,True,True,/home/vsc/LLM_TUNE/AIC_Sejong/ws_aic/src/data/lerobot_entrance/v1.0/videos/observation.images.right_camera/chunk-000/file-000.mp4,0,sfp_port,0.7925026416778564,110.27568817138672,186.14678955078125,16.299041748046875,12.124237060546875,0.0026803039010019347,288.0,256.0
9,4,46,647,first_insert,nic,left,True,True,True,True,/home/vsc/LLM_TUNE/AIC_Sejong/ws_aic/src/data/lerobot_entrance/v1.0/videos/observation.images.left_camera/chunk-000/file-000.mp4,0,sfp_port,0.8767223954200745,151.07823944091797,144.7075424194336,15.935012817382812,11.461593627929688,0.0024772222407863057,288.0,256.0
9,4,46,647,first_insert,nic,center,True,True,True,True,/home/vsc/LLM_TUNE/AIC_Sejong/ws_aic/src/data/lerobot_entrance/v1.0/videos/observation.images.center_camera/chunk-000/file-000.mp4,0,sfp_port,0.8587818741798401,118.55571365356445,153.7366180419922,15.096122741699219,10.77783203125,0.002206807118505417,288.0,256.0
9,4,46,647,first_insert,nic,right,True,True,True,True,/home/vsc/LLM_TUNE/AIC_Sejong/ws_aic/src/data/lerobot_entrance/v1.0/videos/observation.images.right_camera/chunk-000/file-000.mp4,0,sfp_port,0.6345841884613037,111.83266067504883,185.614501953125,15.794471740722656,12.493316650390625,0.0026763961694674285,288.0,256.0
10,5,84,831,last_approach,sc,left,True,True,True,False,/home/vsc/LLM_TUNE/AIC_Sejong/ws_aic/src/data/lerobot_entrance/v1.0/videos/observation.images.left_camera/chunk-000/file-000.mp4,1,sc_port,0.4704706370830536,158.63617706298828,180.82894134521484,10.982650756835938,22.866073608398438,0.003406169984553268,288.0,256.0
10,5,84,831,last_approach,sc,center,True,True,True,True,/home/vsc/LLM_TUNE/AIC_Sejong/ws_aic/src/data/lerobot_entrance/v1.0/videos/observation.images.center_camera/chunk-000/file-000.mp4,1,sc_port,0.8173192739486694,136.6546173095703,177.44097900390625,9.9991455078125,21.10858154296875,0.0028627899619095842,288.0,256.0
10,5,84,831,last_approach,sc,right,True,True,True,False,/home/vsc/LLM_TUNE/AIC_Sejong/ws_aic/src/data/lerobot_entrance/v1.0/videos/observation.images.right_camera/chunk-000/file-000.mp4,1,sc_port,0.019711727276444435,1.5476640104316175,176.5970916748047,3.081786942668259,25.342041015625,0.0010592823771500188,288.0,256.0
11,5,85,832,first_insert,sc,left,True,True,True,False,/home/vsc/LLM_TUNE/AIC_Sejong/ws_aic/src/data/lerobot_entrance/v1.0/videos/observation.images.left_camera/chunk-000/file-000.mp4,1,sc_port,0.47029590606689453,158.63544464111328,180.8294906616211,10.983505249023438,22.865615844726562,0.0034063668030152408,288.0,256.0
11,5,85,832,first_insert,sc,center,True,True,True,True,/home/vsc/LLM_TUNE/AIC_Sejong/ws_aic/src/data/lerobot_entrance/v1.0/videos/observation.images.center_camera/chunk-000/file-000.mp4,1,sc_port,0.8172862529754639,136.6546173095703,177.4409637451172,9.9991455078125,21.108612060546875,0.0028627941007673347,288.0,256.0
11,5,85,832,first_insert,sc,right,True,True,True,False,/home/vsc/LLM_TUNE/AIC_Sejong/ws_aic/src/data/lerobot_entrance/v1.0/videos/observation.images.right_camera/chunk-000/file-000.mp4,1,sc_port,0.019708136096596718,1.5478418469429016,176.59730529785156,3.0821117162704468,25.3443603515625,0.0010594909665382346,288.0,256.0
12,6,85,1057,last_approach,sc,left,True,True,True,False,/home/vsc/LLM_TUNE/AIC_Sejong/ws_aic/src/data/lerobot_entrance/v1.0/videos/observation.images.left_camera/chunk-000/file-000.mp4,1,sc_port,0.30467739701271057,172.97924041748047,172.7611541748047,11.292068481445312,23.770782470703125,0.0036406969335492554,288.0,256.0
12,6,85,1057,last_approach,sc,center,True,True,True,False,/home/vsc/LLM_TUNE/AIC_Sejong/ws_aic/src/data/lerobot_entrance/v1.0/videos/observation.images.center_camera/chunk-000/file-000.mp4,1,sc_port,0.33012208342552185,140.38546752929688,154.1434326171875,12.86846923828125,30.454925537109375,0.005315596142963841,288.0,256.0
12,6,85,1057,last_approach,sc,right,True,True,True,True,/home/vsc/LLM_TUNE/AIC_Sejong/ws_aic/src/data/lerobot_entrance/v1.0/videos/observation.images.right_camera/chunk-000/file-000.mp4,1,sc_port,0.5744043588638306,111.84971618652344,178.30330657958984,10.844711303710938,23.389144897460938,0.003440328288487788,288.0,256.0
13,6,86,1058,first_insert,sc,left,True,True,True,False,/home/vsc/LLM_TUNE/AIC_Sejong/ws_aic/src/data/lerobot_entrance/v1.0/videos/observation.images.left_camera/chunk-000/file-000.mp4,1,sc_port,0.11260758340358734,172.72539520263672,172.3662567138672,11.703903198242188,24.716552734375,0.003923613018085032,288.0,256.0
13,6,86,1058,first_insert,sc,center,True,True,True,False,/home/vsc/LLM_TUNE/AIC_Sejong/ws_aic/src/data/lerobot_entrance/v1.0/videos/observation.images.center_camera/chunk-000/file-000.mp4,1,sc_port,0.3498935401439667,140.23727416992188,154.5033416748047,11.6529541015625,27.837158203125,0.004399754867336014,288.0,256.0
13,6,86,1058,first_insert,sc,right,True,True,True,True,/home/vsc/LLM_TUNE/AIC_Sejong/ws_aic/src/data/lerobot_entrance/v1.0/videos/observation.images.right_camera/chunk-000/file-000.mp4,1,sc_port,0.5407571792602539,112.01950454711914,178.34510803222656,10.898948669433594,23.63238525390625,0.003493491669631668,288.0,256.0
